Pressure,Temperature,Salinity,Oxygen,Transmissometer,Biospherical PAR,Fluorometer ,Wetlabs OBS
11,9.427,34.642,280.79,98.67,,0.272892875,0
12,9.426,34.641,280.86,98.67,,0.291923609,0
13,9.426,34.642,280.75,98.67,,0.286438558,0
14,9.427,34.642,280.75,98.67,,0.281218902,0
15,9.427,34.642,280.75,98.66,,0.276388278,0
16,9.427,34.642,280.71,98.66,159.29,0.281105897,0
17,9.426,34.641,280.87,98.67,159.09,0.282825685,0
18,9.426,34.641,281.02,98.67,158.92,0.285346218,0
19,9.426,34.641,281.16,98.67,158.75,0.287866751,0
20,9.426,34.641,281.31,98.68,158.58,0.290387284,0
21,9.426,34.641,281.45,98.68,156.72,0.294482711,0
22,9.426,34.641,281.42,98.68,149.62,0.300813714,0
23,9.426,34.641,281.43,98.67,140.58,0.308882393,0
24,9.427,34.641,281.48,98.67,131.99,0.316766875,0
25,9.427,34.641,281.53,98.67,123.4,0.324651357,0
26,9.428,34.641,281.58,98.67,114.82,0.332535839,0
27,9.428,34.641,281.63,98.67,106.23,0.340420322,0
28,9.429,34.642,281.68,98.67,97.64,0.348137361,0
29,9.429,34.642,281.75,98.67,88.43,0.352432103,0
30,9.429,34.642,281.73,98.67,80.93,0.358222045,0
31,9.429,34.642,281.7,98.67,75.97,0.361474851,0
32,9.429,34.642,281.67,98.66,70.95,0.364725745,0
33,9.429,34.642,281.63,98.66,66.23,0.368572695,0
34,9.429,34.642,281.45,98.67,55.72,0.371258877,0
35,9.429,34.642,281.48,98.67,51.33,0.374476022,0
36,9.43,34.642,281.55,98.67,49.25,0.378848861,0
37,9.431,34.642,281.63,98.66,47.17,0.3832217,0
38,9.431,34.642,281.72,98.66,45.11,0.386652678,0
39,9.432,34.642,281.74,98.66,43.12,0.396211707,0
40,9.432,34.642,281.73,98.66,42.28,0.4005,0
41,9.43,34.642,281.68,98.68,41.48,0.407631077,0
42,9.431,34.642,281.47,98.66,38.54,0.420019733,0
43,9.432,34.642,281.5,98.66,37.57,0.421214696,0
44,9.433,34.642,281.52,98.67,36.63,0.422036269,0
45,9.434,34.643,281.55,98.67,35.69,0.422857841,0
46,9.435,34.643,281.58,98.67,34.75,0.423679414,0
47,9.436,34.643,281.61,98.67,33.81,0.424500986,0
48,9.437,34.643,281.63,98.67,32.88,0.425322558,0
49,9.438,34.643,281.66,98.67,31.94,0.426144131,0
50,9.439,34.644,281.69,98.67,31,0.426965703,0
51,9.44,34.644,281.71,98.67,30.06,0.427787276,0
52,9.44,34.644,281.74,98.67,29.1,0.431291413,0
53,9.442,34.644,281.75,98.67,28.22,0.444499999,0
54,9.446,34.645,281.58,98.69,26.81,0.444520392,0
55,9.447,34.645,281.63,98.69,26,0.444410224,0
56,9.448,34.645,281.65,98.7,25.15,0.44412565,0
57,9.449,34.645,281.67,98.71,24.3,0.443841076,0
58,9.45,34.646,281.7,98.72,23.42,0.444161501,0
59,9.45,34.646,281.75,98.73,22.6,0.444020136,0
60,9.45,34.646,281.49,98.74,21.85,0.437099993,0
61,9.45,34.646,281.36,98.71,20.29,0.442807161,0
62,9.448,34.646,281.42,98.71,18.54,0.441504914,0
63,9.449,34.646,281.38,98.71,17.5,0.438076813,0
64,9.45,34.646,281.42,98.71,17.06,0.439634472,0
65,9.452,34.646,281.46,98.71,16.57,0.440906246,0
66,9.453,34.647,281.49,98.71,16.08,0.44217802,0
67,9.454,34.647,281.55,98.71,15.61,0.443565081,0
68,9.458,34.648,281.5,98.71,15.05,0.444499999,0
69,9.46,34.648,281.53,98.72,14.36,0.441607943,0
70,9.462,34.648,281.62,98.74,13.77,0.429800004,0
71,9.456,34.647,281.59,98.74,13.27,0.432691787,0
72,9.452,34.646,281.5,98.74,12.69,0.435651905,0
73,9.452,34.646,281.55,98.74,12.14,0.434778988,0
74,9.452,34.646,281.63,98.73,11.68,0.435244473,0
75,9.452,34.646,281.72,98.73,11.21,0.435709959,0
76,9.452,34.646,281.8,98.72,10.75,0.436175444,0
77,9.453,34.646,281.9,98.72,10.28,0.436663087,0
78,9.453,34.646,281.94,98.71,9.85,0.437099993,0
79,9.453,34.646,281.94,98.74,9.58,0.429487747,0
80,9.454,34.647,281.93,98.74,9.29,0.421226451,0
81,9.454,34.647,281.76,98.75,8.96,0.421876648,0
82,9.454,34.647,281.61,98.75,8.65,0.422016486,0
83,9.453,34.646,281.58,98.76,8.34,0.409377958,0
84,9.452,34.646,281.53,98.75,8.07,0.407799989,0
85,9.437,34.643,281.47,98.76,7.89,0.419514247,0
86,9.436,34.643,281.37,98.73,7.72,0.419014491,0
87,9.436,34.643,281.53,98.73,7.36,0.422184551,0
88,9.435,34.642,281.65,98.73,7.02,0.423558226,0
89,9.435,34.642,281.78,98.73,6.68,0.424931901,0
90,9.434,34.642,281.9,98.72,6.35,0.426305576,0
91,9.434,34.642,282.02,98.72,6.01,0.427679251,0
92,9.435,34.642,282.15,98.71,5.67,0.429149828,0
93,9.431,34.642,282.26,98.72,5.39,0.429800004,0
94,9.43,34.641,282.29,98.72,5.27,0.4183494,0
95,9.428,34.641,282.28,98.71,5.16,0.415199995,0
96,9.428,34.641,282.11,98.71,5.09,0.429800004,0
97,9.427,34.641,281.93,98.71,5.03,0.425681809,0
98,9.429,34.642,281.75,98.72,4.97,0.407314096,0
99,9.434,34.642,281.66,98.71,4.83,0.407799989,0
100,9.432,34.642,281.63,98.72,4.59,0.410024977,0
101,9.434,34.642,281.6,98.72,4.39,0.414092185,0
102,9.435,34.642,281.56,98.72,4.18,0.417913291,0
103,9.436,34.642,281.53,98.72,3.97,0.421734397,0
104,9.438,34.643,281.5,98.72,3.75,0.425623338,0
105,9.44,34.643,281.43,98.72,3.55,0.429800004,0
106,9.433,34.642,281.54,98.73,3.39,0.421289273,0
107,9.432,34.641,281.57,98.73,3.22,0.415199995,0
108,9.429,34.641,281.63,98.73,3.1,0.407376594,0
