Pressure,Temperature,Salinity,Oxygen,Transmissometer,Biospherical PAR,Fluorometer,Wetlabs OBS
12,10.615,34.94,270.72,98.84,12.33,0.370668842,0
13,10.615,34.94,270.95,98.85,11.41,0.381030152,0
14,10.616,34.94,270.08,98.84,10.7,0.376779802,0
15,10.616,34.94,270.19,98.84,10.14,0.374936265,0
16,10.616,34.94,270.37,98.84,9.6,0.374864858,0
17,10.616,34.94,270.55,98.84,9.07,0.37479345,0
18,10.617,34.94,270.72,98.84,8.53,0.374722043,0
19,10.617,34.94,270.9,98.84,7.99,0.374650635,0
20,10.617,34.941,271.13,98.84,7.45,0.375612009,0
21,10.618,34.941,270.64,98.84,7.06,0.368346743,0
22,10.618,34.941,270.52,98.84,6.7,0.369505445,0
23,10.619,34.941,270.36,98.84,6.34,0.369428714,0
24,10.619,34.941,270.19,98.83,5.99,0.369351983,0
25,10.619,34.941,270.12,98.83,5.64,0.368919604,0
26,10.618,34.941,270.32,98.83,5.32,0.367153722,0
27,10.618,34.941,270.53,98.83,5,0.36530171,0
28,10.617,34.94,270.71,98.83,4.74,0.369256444,0
29,10.616,34.94,270.91,98.83,4.54,0.368467657,0
30,10.615,34.94,271.11,98.84,4.33,0.367992906,0
31,10.614,34.939,271.2,98.84,4.13,0.366774395,0
32,10.614,34.939,271.05,98.84,3.95,0.363555262,0
33,10.615,34.939,271.04,98.84,3.81,0.362658069,0
34,10.616,34.94,271.02,98.84,3.67,0.361762153,0
35,10.616,34.94,270.99,98.84,3.53,0.360866236,0
36,10.617,34.94,270.97,98.84,3.39,0.359970319,0
37,10.618,34.94,270.93,98.84,3.25,0.361095076,0
38,10.619,34.94,270.91,98.83,3.12,0.369569932,0
39,10.619,34.94,270.9,98.83,3.03,0.36940022,0
40,10.619,34.94,270.89,98.83,2.94,0.369637082,0
41,10.619,34.94,270.88,98.83,2.85,0.369873943,0
42,10.62,34.94,270.87,98.83,2.76,0.370110805,0
43,10.62,34.94,270.86,98.83,2.67,0.370347667,0
44,10.62,34.94,270.85,98.83,2.58,0.370584528,0
45,10.621,34.94,270.84,98.83,2.49,0.37082139,0
46,10.621,34.941,270.83,98.83,2.4,0.371059932,0
47,10.621,34.94,270.85,98.84,2.31,0.371199995,0
48,10.62,34.94,270.65,98.84,2.22,0.366987473,0
49,10.622,34.941,270.62,98.83,2.12,0.356599987,0
50,10.623,34.941,270.45,98.82,2.02,0.356599987,0
51,10.621,34.94,270.04,98.83,1.93,0.354972788,0
52,10.621,34.94,269.65,98.84,1.85,0.329231502,0
53,10.622,34.941,269.78,98.84,1.79,0.336886475,0
54,10.623,34.941,269.86,98.83,1.73,0.341269663,0
55,10.624,34.941,269.95,98.83,1.67,0.345652852,0
56,10.625,34.941,270.04,98.82,1.61,0.352043881,0
57,10.626,34.941,270.27,98.84,1.55,0.349426561,0
58,10.626,34.941,270.54,98.83,1.48,0.348438101,0
59,10.628,34.942,270.59,98.82,1.43,0.348005331,0
60,10.63,34.942,270.72,98.82,1.38,0.347735388,0
61,10.63,34.942,270.4,98.82,1.32,0.350854966,0
62,10.63,34.942,270.4,98.82,1.26,0.357048533,0
63,10.631,34.942,270.45,98.82,1.2,0.34413422,0
64,10.631,34.942,270.18,98.82,1.16,0.346493498,0
65,10.631,34.942,269.86,98.81,1.12,0.348113645,0
66,10.631,34.942,269.53,98.8,1.08,0.349733792,0
67,10.632,34.942,269.21,98.8,1.03,0.351353939,0
68,10.632,34.942,268.81,98.8,0.99,0.353585082,0
69,10.632,34.942,268.86,98.77,0.95,0.358829651,0
70,10.632,34.942,269.21,98.75,0.92,0.401990402,0
71,10.632,34.942,269.25,98.78,0.88,0.410019003,0
72,10.632,34.943,269.38,98.79,0.85,0.40787991,0
73,10.633,34.943,269.49,98.79,0.82,0.408263793,0
74,10.633,34.943,269.6,98.8,0.78,0.408647676,0
75,10.634,34.943,269.71,98.81,0.75,0.409031559,0
76,10.635,34.943,269.82,98.82,0.72,0.411218189,0
77,10.636,34.943,269.95,98.82,0.68,0.407534088,0
78,10.636,34.943,270.01,98.82,0.65,0.349774946,0
79,10.637,34.943,269.82,98.8,0.62,0.34920001,0
80,10.638,34.944,269.58,98.79,0.6,0.349705145,0
81,10.638,34.943,269.39,98.81,0.58,0.34920001,0
82,10.637,34.943,269.5,98.81,0.55,0.351122708,0
83,10.637,34.943,269.58,98.81,0.53,0.354005316,0
84,10.636,34.943,269.66,98.8,0.51,0.356752112,0
85,10.636,34.943,269.75,98.8,0.49,0.359498908,0
86,10.635,34.943,269.84,98.8,0.46,0.362501143,0
87,10.635,34.943,269.91,98.8,0.44,0.364381275,0
88,10.635,34.943,269.83,98.78,0.43,0.349631085,0
89,10.635,34.943,269.75,98.81,0.41,0.361996253,0
90,10.635,34.943,269.89,98.7,0.39,0.37095584,0
91,10.636,34.943,269.89,98.73,0.38,0.368830576,0
92,10.636,34.943,269.87,98.75,0.36,0.366601941,0
93,10.637,34.943,269.84,98.78,0.35,0.364405723,0
94,10.637,34.943,269.84,98.8,0.33,0.361863127,0
95,10.637,34.943,270.31,98.81,0.31,0.35904715,0
96,10.637,34.943,271.03,98.82,0.3,0.378816104,0
97,10.636,34.943,270.52,98.81,0.29,0.411967522,0
98,10.637,34.943,270.24,98.81,0.28,0.402283371,0
99,10.638,34.943,270.72,98.79,0.27,0.394697756,0
100,10.638,34.943,270.67,98.81,0.26,0.372424755,0
101,10.638,34.943,270.27,98.82,0.25,0.363900006,0
102,10.638,34.943,269.86,98.81,0.24,0.362371165,0
103,10.638,34.943,269.45,98.82,0.23,0.349209339,0
104,10.638,34.943,269.59,98.82,0.22,0.351612598,0
105,10.638,34.943,269.72,98.82,0.21,0.3538839,0
106,10.638,34.943,269.88,98.82,0.2,0.356831517,0
107,10.639,34.943,269.91,98.82,0.19,0.356599987,0
108,10.64,34.943,269.68,98.82,0.18,0.356599987,0
109,10.639,34.943,269.26,98.82,0.17,0.37020335,0
110,10.64,34.943,269.51,98.82,0.16,0.37843345,0
111,10.641,34.943,269.87,98.82,0.16,0.377791617,0
112,10.642,34.944,270.24,98.82,0.15,0.378160048,0
113,10.642,34.944,270.59,98.82,0.14,0.372243844,0
114,10.642,34.944,270.16,98.77,0.14,0.371092474,0
115,10.641,34.943,269.45,98.81,0.13,0.375390558,0
116,10.641,34.943,269.87,98.82,0.12,0.380001327,0
117,10.64,34.943,270.03,98.82,0.12,0.372218876,0
118,10.639,34.943,270.22,98.82,0.11,0.362669973,0
119,10.638,34.942,270.49,98.82,0.11,0.370852639,0
120,10.638,34.943,270.54,98.82,0.1,0.365981942,0
121,10.641,34.943,270.39,98.82,0.1,0.361309908,0
122,10.64,34.943,270.04,98.81,0.09,0.358601098,0
123,10.639,34.943,269.86,98.81,0.09,0.371199995,0
124,10.64,34.943,269.78,98.79,0.09,0.359086739,0
125,10.64,34.943,270.29,98.81,0.08,0.356229479,0
126,10.641,34.943,270.39,98.8,0.08,0.362987743,0
127,10.641,34.943,270.14,98.8,0.08,0.362242617,0
128,10.641,34.943,269.9,98.8,0.07,0.361316585,0
129,10.64,34.943,269.66,98.8,0.07,0.360390554,0
130,10.64,34.943,269.38,98.81,0.06,0.359837439,0
131,10.64,34.943,269.26,98.8,0.06,0.357103422,0
132,10.64,34.943,269.08,98.79,0.06,0.350197847,0
133,10.64,34.943,268.88,98.82,0.05,0.341899991,0
134,10.64,34.943,269.2,98.82,0.05,0.358981352,0
135,10.641,34.943,269.32,98.8,0.05,0.357345962,0
136,10.641,34.943,269.44,98.79,0.05,0.357238868,0
137,10.642,34.943,269.57,98.77,0.04,0.357131773,0
138,10.643,34.943,269.7,98.76,0.04,0.357024679,0
139,10.643,34.943,269.88,98.72,0.04,0.356801986,0
140,10.644,34.944,269.77,98.8,0.04,0.356599987,0
141,10.644,34.943,269.41,98.82,0.04,0.356599987,0
142,10.642,34.943,269.01,98.8,0.03,0.362166902,0
143,10.642,34.943,269.15,98.77,0.03,0.367162638,0
144,10.643,34.943,269.22,98.78,0.03,0.370221351,0
145,10.643,34.943,269.33,98.78,0.03,0.373317999,0
146,10.644,34.943,269.43,98.79,0.03,0.376414646,0
147,10.644,34.943,269.52,98.8,0.02,0.380369855,0
148,10.645,34.943,269.68,98.79,0.02,0.379301444,0
149,10.646,34.944,269.79,98.81,0.02,0.371983693,0
150,10.646,34.944,269.5,98.82,0.02,0.363900006,0
151,10.644,34.943,269.16,98.81,0.02,0.35855389,0
152,10.647,34.944,269.11,98.82,0.01,0.357463841,0
153,10.646,34.944,269.15,98.82,0.01,0.385899991,0
154,10.646,34.944,269.16,98.79,0.01,0.377495099,0
155,10.647,34.944,269.19,98.8,0.01,0.375901783,0
156,10.648,34.944,269.22,98.8,0.01,0.372747003,0
157,10.648,34.944,269.25,98.8,0.01,0.369592222,0
158,10.649,34.944,269.31,98.8,0.01,0.365872973,0
159,10.65,34.944,269.2,98.8,0.01,0.365541483,0
160,10.652,34.945,269.37,98.8,0,0.371741335,0
161,10.651,34.945,269.54,98.8,0,0.371805792,0
162,10.651,34.945,269.48,98.79,0,0.373272032,0
163,10.651,34.944,269.46,98.78,0,0.374673865,0
164,10.651,34.944,269.49,98.77,0,0.375396467,0
165,10.651,34.945,269.35,98.76,0,0.378550228,0
166,10.651,34.944,269.16,98.8,0,0.38401402,0
167,10.651,34.944,269.16,98.8,0,0.380901913,0
168,10.651,34.944,269.16,98.79,0,0.378197796,0
169,10.651,34.944,269.16,98.79,0,0.375493679,0
170,10.651,34.944,269.2,98.79,0,0.37242005,0
171,10.651,34.944,269.02,98.77,0,0.371199995,0
172,10.653,34.945,268.74,98.81,0,0.357127361,0
173,10.653,34.944,268.5,98.82,0,0.35718218,0
174,10.65,34.944,268.43,98.82,0,0.36966748,0
175,10.633,34.94,268.84,98.81,0,0.369385943,0
176,10.618,34.937,269.18,98.81,0,0.371543214,0
177,10.604,34.934,269.52,98.81,0,0.373700486,0
178,10.589,34.931,269.86,98.8,0,0.375857757,0
179,10.58,34.929,270.28,98.81,0,0.378021622,0
180,10.552,34.923,269.99,98.78,0,0.382927702,0
181,10.564,34.926,269.08,98.86,0,0.369778227,0
182,10.581,34.929,269.29,98.9,0,0.356599987,0
183,10.594,34.932,269.38,98.86,0,0.350468942,0
184,10.624,34.938,269.21,98.85,0,0.328381859,0
185,10.619,34.937,269.44,98.85,0,0.349504954,0
186,10.618,34.936,269.27,98.82,0,0.363900006,0
187,10.609,34.934,269.47,98.83,0,0.37662171,0
188,10.572,34.927,270.64,98.83,0,0.384857723,0
189,10.592,34.931,269.65,98.84,0,0.378802289,0
190,10.611,34.935,268.85,98.87,0,0.372097205,0
191,10.613,34.935,269.22,98.86,0,0.365959743,0
192,10.61,34.935,269.41,98.85,0,0.36757562,0
193,10.622,34.937,269.2,98.85,0,0.36527209,0
194,10.582,34.927,270.01,98.83,0,0.364696538,0
195,10.58,34.929,269.95,98.83,0,0.370768129,0
196,10.512,34.912,270.01,98.82,0,0.375087394,0
197,10.47,34.904,269.46,98.86,0,0.372878215,0
198,10.455,34.901,269.83,98.9,0,0.341024202,0
199,10.403,34.89,270.22,98.94,0,0.347517997,0
200,10.372,34.884,269.76,98.97,0,0.335676062,0
201,10.368,34.883,269.38,99.01,0,0.337772825,0
202,10.38,34.882,270.01,99.03,0,0.323040082,0
203,10.315,34.871,269.69,99.01,0,0.296288144,0
204,10.269,34.862,269.31,99.03,0,0.296932445,0
205,10.275,34.863,269.6,99.12,0,0.297899991,0
206,10.309,34.87,269.24,99.12,0,0.287960914,0
207,10.317,34.872,269.23,99.08,0,0.286851766,0
208,10.328,34.874,269.84,99.09,0,0.288466661,0
209,10.333,34.875,269.88,99.09,0,0.287350868,0
210,10.32,34.872,269.56,99.09,0,0.290600002,0
211,10.268,34.861,269.71,99.09,0,0.284455901,0
212,10.272,34.862,269.3,99.11,0,0.302604359,0
213,10.268,34.861,269.43,99.07,0,0.303623093,0
214,10.26,34.859,269.17,99.13,0,0.283560805,0
215,10.229,34.852,269.54,99.1,0,0.281806181,0
216,10.237,34.854,269.8,99.14,0,0.276243459,0
217,10.238,34.854,269.38,99.14,0,0.26752586,0
218,10.226,34.851,269.66,99.14,0,0.248873012,0
219,10.209,34.848,269.58,99.19,0,0.265672214,0
