Station,Number,Depth,N ,C ,C_N,NperL,CperL
PI,PI5,5,7.762998454,52.65141586,6.782355578,3.881499227,26.32570793
PI,PI50,50,5.291742198,32.66990999,6.173753137,2.645871099,16.334955
PI,PI100,100,5.652790181,36.61935429,6.478102515,2.826395091,18.30967714
PI,PI150,150,5.626835935,30.03040413,5.336996578,2.813417967,15.01520207
PI,PI200,200,5.80666434,33.0479608,5.691384737,2.90333217,16.5239804
PII,PII5,5,7.308328263,54.05649761,7.396561247,3.654164132,27.02824881
PII,PII50,50,5.85162174,29.51109986,5.043234366,2.92581087,14.75554993
PII,PII100,100,6.206181161,31.9154201,5.142521507,3.103090581,15.95771005
PII,PII150,150,9.181004874,45.13913731,4.916579168,4.590502437,22.56956865
PII,PII200,200,5.193485133,34.53987368,6.650615684,2.596742567,17.26993684
