Daytime,PS1,PS2
day,3.28,1.84
day,2.96,2.44
day,3.32,2.8
day,3.32,2.08
day,3.48,2.04
day,3.6,1.8
day,3.2,1.92
day,3,2.8
day,3,1.76
day,3.32,2
day,2.92,1.92
day,2.88,2.44
day,2.92,1.72
day,2.84,2.4
day,2.88,1.64
day,3.32,2.44
day,2.92,2.48
day,3.6,1.92
day,3.12,2.32
day,3.48,2.52
day,3.6,2.92
day,3.52,2.76
day,3.68,2.76
day,3.2,2.2
day,3.68,2.16
day,3.64,2.76
day,3.32,2.44
day,3.36,2.04
day,3.32,1.92
day,3.28,1.88
day,3.44,2.84
day,3,2.68
day,3.4,2.04
day,3.2,3.28
day,3.24,1.96
day,3.4,1.96
day,3,2.28
day,3.56,1.92
day,3.56,2.92
day,3.28,3.2
day,3.6,1.72
day,3.04,2.04
day,3.6,1.96
day,3.28,2.08
day,3.72,2.72
day,3.44,2.64
day,3.12,1.88
day,3.04,1.84
day,3.72,1.88
day,3.28,1.92
day,3.64,2.32
day,3.16,1.84
day,2.8,2
day,3.08,2.76
day,2.88,1.92
day,3.52,1.96
day,3.32,2.04
day,3.28,1.96
day,3.44,3.08
day,3.6,2.08
day,3.36,2.04
day,3.48,1.8
day,3.24,2.12
day,3.4,2
day,3,2
day,3.2,2.72
day,2.84,2.08
day,3.32,1.8
day,3.48,1.8
day,3.32,2.56
day,3.4,1.72
day,3.12,2.2
day,3.52,2.08
day,2.92,2.28
day,3.48,2
day,3.28,3
day,3.2,2
day,3.32,2.72
day,3.32,2.12
day,3.44,1.88
day,3.44,1.92
day,3.28,2.6
day,3.64,1.92
day,3.56,2.12
day,3.12,2.08
day,3.28,1.8
day,3.4,2.24
day,3.6,1.92
day,3.6,1.72
day,3.44,1.84
day,3.4,3.2
day,2.92,1.8
day,3.4,1.76
day,2.88,2
day,3.4,2.04
day,2.88,3.08
day,3.4,1.92
day,3.48,2.08
day,3.48,2.48
day,3.52,1.84
day,3.44,1.92
day,2.92,2
day,3.2,2
day,3,1.96
day,3.56,1.8
day,3,1.6
day,2.92,1.8
day,3.4,1.84
day,3.52,2.04
day,3.56,2.2
day,3.4,1.92
day,3.24,2.16
day,3.52,1.72
day,3.32,2.8
day,3,2.16
day,2.92,2.8
day,3.16,2.72
day,3.48,2.68
day,3.4,2.08
day,3,1.8
day,3.16,1.92
day,3.6,2.08
day,3.16,1.68
day,3.32,2.6
day,3.12,2.68
day,3.16,1.96
day,3.2,1.72
day,3.24,1.8
day,3.04,2.04
day,3.32,1.92
day,3.12,2.92
day,3.64,2.72
day,3.12,2.52
day,3.12,2.2
day,3.2,2.92
day,3.52,2
day,3.44,3.4
day,3.4,2.12
day,3.4,2.84
day,2.92,2.2
day,3.2,2.52
day,3.4,2.52
day,3.2,3.44
day,2.96,2.16
day,3.32,3
day,3.28,1.92
day,2.96,2.08
day,3.52,1.88
day,3.32,2
day,3.12,2.44
day,3.16,2.08
day,3.28,2.08
day,3.6,2.88
day,2.92,3.4
day,2.88,2.56
day,3.44,2.92
day,2.8,2.76
day,3.24,2.04
day,3.4,1.72
day,3.24,2.28
day,3.52,2.04
day,3.68,2.08
day,3.28,2.04
day,3.44,2
day,3.24,2
day,3,1.84
day,3.28,2.08
day,3.12,1.96
day,3.36,2.96
day,3.48,2.32
day,3.4,2.92
day,3.2,3.44
day,3.32,3.2
day,3.36,2.04
day,3.36,1.8
day,3.28,1.92
day,3.32,2.2
day,3.32,2.72
day,3.24,2.16
day,3.6,2.08
day,3.12,3.28
day,3.2,2.08
day,3.24,2.96
day,3.16,2.12
day,3.28,1.92
day,3.2,2.52
day,3.44,1.72
day,3.4,2.04
day,3.28,2
day,3.04,2.72
day,3.2,2.48
day,3.12,2.16
day,3.68,1.8
day,3,2.64
day,3.28,3.12
day,2.92,1.92
day,3.12,1.88
day,3,1.84
day,3.24,2.44
day,3.6,2.8
day,3.4,2.08
day,3.4,2.04
day,2.92,1.8
day,3.68,1.92
day,3.48,2.8
day,3.32,1.76
day,3.28,2
day,3.04,1.92
day,3.4,2.44
day,3.4,1.72
day,3.12,2.4
day,3.32,1.64
day,3.2,2.44
day,3.6,2.48
day,3.72,1.92
day,3.52,2.32
day,3.44,2.52
day,2.84,2.92
day,3.4,2.76
day,3.04,2.76
day,3.4,2.2
day,3.08,2.16
day,3.44,2.76
day,3.32,2.44
day,3.52,2.04
day,3.6,1.92
day,3.52,1.88
day,3.48,2.84
day,3.44,2.68
day,3.04,2.04
day,3.12,3.28
day,2.8,1.96
day,3.32,1.96
day,2.8,2.28
day,3.4,1.92
day,3.4,2.92
day,3.52,3.2
day,3.24,1.72
day,3.28,2.04
day,3.44,1.96
day,2.92,2.08
day,3.16,2.72
day,3.4,2.64
day,3.84,1.88
day,2.92,1.84
day,3.12,1.88
day,3.2,1.92
day,3.04,2.32
day,3.12,1.84
day,2.8,2
day,3.16,2.76
day,3.12,1.92
day,3.04,1.96
day,3.4,2.04
day,3.48,1.96
day,3.08,3.08
day,3.16,2.08
day,NA,2.04
day,NA,1.8
day,NA,2.12
day,NA,2
day,NA,2
day,NA,2.72
day,NA,2.08
day,NA,1.8
day,NA,1.8
day,NA,2.56
day,NA,1.72
day,NA,2.2
day,NA,2.08
day,NA,2.28
day,NA,2
day,NA,3
day,NA,2
day,NA,2.72
day,NA,2.12
day,NA,1.88
day,NA,1.92
day,NA,2.6
day,NA,1.92
day,NA,2.12
day,NA,2.08
day,NA,1.8
day,NA,2.24
day,NA,1.92
day,NA,1.72
day,NA,1.84
day,NA,3.2
day,NA,1.8
day,NA,1.76
day,NA,2
day,NA,2.04
day,NA,3.08
day,NA,1.92
day,NA,2.08
day,NA,2.48
day,NA,1.84
day,NA,1.92
day,NA,2
day,NA,2
day,NA,1.96
day,NA,1.8
day,NA,1.6
day,NA,1.8
day,NA,1.84
day,NA,2.04
day,NA,2.2
day,NA,1.92
day,NA,2.16
day,NA,1.72
day,NA,2.8
day,NA,2.16
day,NA,2.8
day,NA,2.72
