Date,Time,Channel,User,Sensor_Name,delta_t,Time_Unit,Value,Mode,Phase,Phase_Unit,Amplitude,Temp,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,O2Cal2nd,Cal2nd,Cal2nd_Unit,T2nd,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent
10/01/2018,22:04:35,2,Svenja,Sensor 3,0,min,213.065,Humid,25.39,deg,239093,10.579,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:04:37,2,Svenja,Sensor 3,0.037,min,212.699,Humid,25.399,deg,239080,10.611,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:04:39,2,Svenja,Sensor 3,0.078,min,212.991,Humid,25.403,deg,239059,10.554,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:04:41,2,Svenja,Sensor 3,0.111,min,212.838,Humid,25.408,deg,239075,10.564,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:08,2,Svenja,Sensor 3,0.56,min,211.636,Humid,25.468,deg,239805,10.584,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:10,2,Svenja,Sensor 3,0.587,min,211.506,Humid,25.477,deg,239843,10.579,1027,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:11,2,Svenja,Sensor 3,0.614,min,211.548,Humid,25.481,deg,239892,10.561,1027,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:13,2,Svenja,Sensor 3,0.639,min,211.133,Humid,25.488,deg,239934,10.607,1027,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:36,2,Svenja,Sensor 3,1.027,min,211.96,Humid,25.455,deg,239994,10.569,1027,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:38,2,Svenja,Sensor 3,1.06,min,211.717,Humid,25.455,deg,239946,10.607,1027,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:40,2,Svenja,Sensor 3,1.095,min,211.808,Humid,25.455,deg,239925,10.593,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:05:42,2,Svenja,Sensor 3,1.128,min,211.82,Humid,25.456,deg,239957,10.589,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:06:05,2,Svenja,Sensor 3,1.511,min,208.503,Humid,25.64,deg,242480,10.599,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:06:07,2,Svenja,Sensor 3,1.547,min,208.362,Humid,25.644,deg,242430,10.611,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:06:09,2,Svenja,Sensor 3,1.577,min,208.659,Humid,25.643,deg,242410,10.566,1027,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
10/01/2018,22:06:11,2,Svenja,Sensor 3,1.611,min,208.554,Humid,25.64,deg,242369,10.591,1028,hPa,35,pmil,0,55.58,deg,20,100,21.74,deg,20,986,hPa,0.831,-0.00929,0.000343,-0.00019,0,13.46,Humid,68.25,0,5
